X,Y,OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active
67.709953,33.93911,1,Afghanistan,2021/04/25 02:20:41+00,33.93911,67.709953,58730,2572,52392,3766
20.1683,41.1533000000001,2,Albania,2021/04/25 02:20:41+00,41.1533,20.1683,130409,2372,105016,23021
1.65960000000007,28.0339000000001,3,Algeria,2021/04/25 02:20:41+00,28.0339,1.6596,120736,3198,84167,33371
1.52180000000004,42.5063000000001,4,Andorra,2021/04/25 02:20:41+00,42.5063,1.5218,13024,124,12458,442
17.8739,-11.2026999999999,5,Angola,2021/04/25 02:20:41+00,-11.2027,17.8739,25492,577,23092,1823
-61.7963999999999,17.0608,6,Antigua and Barbuda,2021/04/25 02:20:41+00,17.0608,-61.7964,1227,31,1002,194
-63.6167,-38.4161,7,Argentina,2021/04/25 02:20:41+00,-38.4161,-63.6167,2845872,61474,2496277,288121
45.0382000000001,40.0691,8,Armenia,2021/04/25 02:20:41+00,40.0691,45.0382,212878,4001,193360,15517
133.0,-24.9999999999999,9,Australia,2021/04/25 02:20:41+00,-25,133,29662,910,23195,5557
14.5501,47.5162,10,Austria,2021/04/25 02:20:41+00,47.5162,14.5501,606954,10070,570684,26200
47.5769000000001,40.1431000000001,11,Azerbaijan,2021/04/25 02:20:41+00,40.1431,47.5769,311465,4342,276934,30189
-78.0358889999999,25.0258850000001,12,Bahamas,2021/04/25 02:20:41+00,25.025885,-78.035889,9976,196,9215,565
50.5500000000001,26.0275,13,Bahrain,2021/04/25 02:20:41+00,26.0275,50.55,170335,620,159198,10517
90.3563,23.6850000000001,14,Bangladesh,2021/04/25 02:20:41+00,23.685,90.3563,742400,10952,653151,78297
-59.5432,13.1939,15,Barbados,2021/04/25 02:20:41+00,13.1939,-59.5432,3820,44,3718,58
27.9534,53.7098,16,Belarus,2021/04/25 02:20:41+00,53.7098,27.9534,351674,2483,342102,7089
4.46993600000008,50.8333000000001,17,Belgium,2021/04/25 02:20:41+00,50.8333,4.469936,972041,23990,,948051
-88.4976,17.1899,18,Belize,2021/04/25 02:20:41+00,17.1899,-88.4976,12599,321,12168,110
2.31580000000002,9.30770000000007,19,Benin,2021/04/25 02:20:41+00,9.3077,2.3158,7720,97,7510,113
90.4336000000001,27.5142000000001,20,Bhutan,2021/04/25 02:20:41+00,27.5142,90.4336,1018,1,927,90
-63.5887,-16.2902,21,Bolivia,2021/04/25 02:20:41+00,-16.2902,-63.5887,295892,12783,244079,39030
17.6791000000001,43.9159000000001,22,Bosnia and Herzegovina,2021/04/25 02:20:41+00,43.9159,17.6791,194733,8203,153408,33122
24.6849,-22.3285,23,Botswana,2021/04/25 02:20:41+00,-22.3285,24.6849,45855,691,41338,3826
-51.9252999999999,-14.235,24,Brazil,2021/04/25 02:20:41+00,-14.235,-51.9253,14308215,389492,12606011,1312712
114.7277,4.53530000000006,25,Brunei,2021/04/25 02:20:41+00,4.5353,114.7277,223,3,210,10
25.4858,42.7339000000001,26,Bulgaria,2021/04/25 02:20:41+00,42.7339,25.4858,397100,15859,324386,56855
-1.56159999999994,12.2383,27,Burkina Faso,2021/04/25 02:20:41+00,12.2383,-1.5616,13231,156,12887,188
95.9560000000001,21.9162000000001,28,Burma,2021/04/25 02:20:41+00,21.9162,95.956,142704,3206,131925,7573
29.9189000000001,-3.37309999999997,29,Burundi,2021/04/25 02:20:41+00,-3.3731,29.9189,3805,6,773,3026
-23.0418,16.5388,30,Cabo Verde,2021/04/25 02:20:41+00,16.5388,-23.0418,22094,201,19109,2784
104.9167,11.5500000000001,31,Cambodia,2021/04/25 02:20:41+00,11.55,104.9167,9359,71,3210,6078
